Name,Team,Level,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,PlayerId
"Gregori Cano","TOR","CPX",18,32,98,116,18,11,5,0,2,8,13,17,0,33,1,0,0,4,1,0,0.183673469,"sa3018442"
"Jerffson Pena","PHI","DSL",19,46,164,188,44,31,8,3,2,27,25,15,2,48,7,1,1,2,24,3,0.268292682,"sa3018443"
"Jose Liriano","BOS","DSL",20,33,87,106,18,9,5,0,4,9,12,16,0,22,2,1,0,2,1,1,0.206896551,"sa3018444"
"Modeifi Marte","ARI","CPX",20,54,169,204,53,34,11,3,5,30,31,25,0,28,6,4,0,3,4,1,0.313609467,"sa3018445"
"Javier Roman","MIN","DSL",20,42,99,115,28,19,7,0,2,12,19,14,0,20,1,1,0,3,0,1,0.282828282,"sa3018446"
"Andriel Lantigua","NYM","A,CPX",19,18,42,58,10,8,2,0,0,8,6,13,0,11,1,2,0,3,0,0,0.238095238,"sa3018447"
"Claudio Simon","BOS","A,CPX",21,40,106,120,24,20,3,1,0,11,5,11,0,37,3,0,0,2,16,4,0.226415094,"sa3018448"
"Marcos Torres","TEX","A,CPX",18,58,201,242,45,25,7,6,7,35,33,30,0,66,9,2,0,2,23,6,0.223880597,"sa3018449"
"Alain Camou","SDP","CPX",19,44,157,186,45,32,13,0,0,27,23,24,0,35,1,2,2,2,2,2,0.286624203,"sa3018450"
"Eduardo Oviedo","PIT","DSL",18,43,127,149,38,25,7,1,5,20,25,19,1,37,1,2,0,1,15,6,0.299212598,"sa3018451"
"Neify Rosario","PHI","DSL",18,12,32,37,5,3,1,0,1,6,4,5,0,13,0,0,0,0,1,1,0.15625,"sa3018452"
