Name,Team,Level,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,PlayerId
"Yaikel Mijares","CLE","CPX",18,46,157,191,36,25,8,0,3,28,29,28,0,59,4,1,1,3,15,0,0.229299363,"sa3021181"
"Daniel Campos","CHC","DSL",18,39,124,148,31,19,6,2,4,24,28,18,0,22,3,3,0,3,2,0,0.25,"sa3021182"
"Victor Rodriguez","LAA","CPX",18,47,145,167,32,19,7,5,1,19,26,15,1,51,3,4,0,4,0,4,0.220689655,"sa3021183"
"Juan Flores","LAA","A,A+",18,101,374,418,95,62,27,1,5,49,52,24,1,98,10,5,5,9,4,3,0.254010695,"sa3021185"
"Jose Pirela","CLE","CPX",18,45,161,188,30,14,7,2,7,25,25,17,0,61,8,2,0,1,3,5,0.186335403,"sa3021191"
"Eliesbert Alejos","ARI","DSL",18,53,194,224,60,48,10,1,1,30,29,16,0,20,7,3,4,5,8,4,0.30927835,"sa3021195"
"Albert Gutierrez","CHC","CPX",20,47,161,176,38,24,8,3,3,19,21,12,0,48,0,1,0,4,0,0,0.236024844,"sa3021200"
"Raimundo De Los Santos","BOS","CPX",19,46,151,182,35,28,7,0,0,27,7,30,0,49,1,0,0,2,28,8,0.231788079,"sa3021202"
"Javier Herrera","LAD","DSL",19,47,146,200,42,26,7,5,4,41,33,50,0,30,2,2,0,2,20,4,0.287671232,"sa3021203"
"Omar Urbina","BAL","DSL",18,45,132,156,32,28,3,0,1,16,24,17,1,24,6,1,0,2,2,0,0.242424242,"sa3021204"
"Roderick Flores","MIL","DSL",17,38,106,145,26,18,6,1,1,27,15,33,0,33,5,1,0,0,13,3,0.245283018,"sa3021205"
"Alfredo Rodriguez","TBR","DSL",18,41,143,159,34,27,4,3,0,17,20,10,0,35,4,2,0,1,4,4,0.237762237,"sa3021207"
"Luiyin Alastre","MIL","CPX",18,50,192,220,50,40,6,2,2,34,27,23,0,26,2,3,0,4,11,2,0.260416666,"sa3021210"
"Yirer Garcia","TBR","CPX",18,48,155,192,37,29,7,0,1,35,16,27,0,25,6,2,1,3,4,2,0.238709677,"sa3021211"
"Gabriel Terrero","NYY","CPX",18,46,125,158,32,24,5,1,2,29,20,28,0,27,2,3,0,7,14,0,0.256,"sa3021213"
"Antonio Pimentel","PIT","DSL",18,41,129,155,28,22,2,4,0,23,13,20,0,22,3,2,1,0,12,2,0.217054263,"sa3021214"
"Kleiver Chauran","TBR","DSL",18,45,140,177,31,19,8,3,1,23,29,31,0,43,4,2,0,1,4,1,0.221428571,"sa3021221"
"Jose Monzon","TBR","CPX",18,54,190,225,48,37,8,2,1,36,18,34,0,38,1,0,0,1,11,5,0.252631578,"sa3021222"
"Jose Tovar","TBR","DSL",18,42,139,170,40,29,10,1,0,19,20,22,0,25,6,3,0,3,3,1,0.287769784,"sa3021223"
"Alfonzo Martinez","TBR","DSL",18,43,139,164,42,30,4,3,5,26,21,16,0,33,7,2,0,2,11,4,0.302158273,"sa3021225"
"Facundo Velasquez","STL","DSL",18,47,158,196,42,25,7,4,6,36,33,28,0,68,7,3,0,1,5,3,0.265822784,"sa3021227"
"Elian Soto","WSN","CPX",18,41,114,146,20,15,4,1,0,17,8,27,0,51,4,1,0,3,0,0,0.175438596,"sa3021228"
"Braylin Morel","TEX","CPX",18,41,153,182,47,25,10,5,7,35,37,21,0,43,6,2,0,1,12,2,0.307189542,"sa3021229"
"Victor Cardoza","PHI","DSL",18,45,162,178,54,33,12,2,7,34,25,12,1,44,3,0,1,2,16,4,0.333333333,"sa3021230"
"Cristian Jauregui","PIT","DSL",18,44,135,167,37,29,3,2,3,37,23,23,0,36,8,1,0,2,17,6,0.274074074,"sa3021231"
"Deward Tovar","TEX","DSL",18,43,145,173,35,20,7,3,5,23,31,25,0,54,3,0,0,2,4,1,0.24137931,"sa3021237"
"Heriberto Rincon","NYM","DSL",18,45,140,167,29,23,3,2,1,16,25,19,0,26,2,4,0,1,13,6,0.207142857,"sa3021238"
"Kleyver Salazar","BOS","CPX",18,49,155,183,35,22,7,2,4,22,31,25,0,40,1,2,0,2,2,1,0.225806451,"sa3021241"
"Antony Gomez","MIL","CPX",18,47,141,181,27,18,7,0,2,24,24,36,0,50,3,1,0,2,9,7,0.191489361,"sa3021242"
"Abraham Cohen","BAL","DSL",18,48,126,174,25,17,6,2,0,21,15,38,0,36,8,2,0,4,13,2,0.198412698,"sa3021243"
"Pedro Tovar","MIL","DSL",18,38,143,157,43,29,11,3,0,24,16,13,0,43,0,1,0,0,7,2,0.3006993,"sa3021248"
"Keiver Garcia","NYM","DSL",17,51,155,187,40,34,5,1,0,28,10,28,0,41,3,1,0,4,18,5,0.258064516,"sa3021251"
"Adriander Mejia","BAL","DSL",17,50,158,198,46,36,6,2,2,38,34,33,0,15,4,3,0,4,6,0,0.29113924,"sa3021253"
"Martin Tamara","DET","DSL",20,45,136,165,26,17,4,3,2,21,20,16,1,39,10,1,0,4,5,0,0.19117647,"sa3021257"
"Eduarlin Tejeda","SDP","DSL",19,44,133,162,28,25,2,1,0,20,14,23,0,40,4,1,1,1,7,5,0.210526315,"sa3021259"
"Yosneiker Rivas","SFG","DSL",18,41,139,181,34,23,9,1,1,29,15,36,0,42,3,1,2,2,3,4,0.244604316,"sa3021262"
"Carlos Concepcion","SFG","DSL",18,47,164,199,40,27,9,1,3,28,28,23,0,61,9,3,0,0,7,4,0.243902439,"sa3021266"
"Angel Guzman","SFG","DSL",18,45,151,201,46,30,6,3,7,50,34,45,0,39,4,0,1,1,15,4,0.304635761,"sa3021268"
"Jaeden Calderon","PHI","DSL",18,46,142,184,40,27,7,2,4,29,24,26,0,40,13,3,0,2,7,4,0.28169014,"sa3021274"
"Fabian Lopez","MIA","CPX",18,50,196,214,40,27,8,3,2,32,19,16,0,56,1,1,0,0,20,3,0.204081632,"sa3021276"
"Andru Arthur","STL","DSL",18,41,119,156,31,24,5,0,2,28,13,23,0,36,12,2,0,1,11,4,0.260504201,"sa3021277"
"Andres Valor","MIA","CPX",18,54,197,227,57,40,10,5,2,42,28,20,0,57,8,2,0,0,35,4,0.289340101,"sa3021278"
"Jancory De La Cruz","MIA","DSL",18,43,146,182,30,19,6,2,3,24,22,30,1,49,5,1,0,1,11,4,0.205479452,"sa3021280"
"John Gil","ATL","A,CPX",18,90,312,370,78,60,14,1,3,62,27,47,0,71,7,3,1,4,40,8,0.25,"sa3021284"
"Joseph Tailor","MIA","DSL",18,49,175,217,49,26,9,7,7,50,19,19,0,52,23,0,0,0,13,6,0.28,"sa3021285"
"Mario Baez","ATL","CPX",17,51,173,193,35,29,5,1,0,20,20,15,0,36,2,1,1,2,16,2,0.202312138,"sa3021286"
"John Estevez","ATL","CPX",18,52,150,196,30,18,8,3,1,24,21,38,0,49,4,4,0,3,7,3,0.2,"sa3021287"
"Angel Herrera","TEX","DSL",18,44,154,196,36,27,6,2,1,34,17,33,0,37,5,3,1,1,27,5,0.233766233,"sa3021292"
"Breyias Dean","MIA","DSL",18,43,132,170,34,26,6,0,2,21,22,24,0,49,12,1,0,2,9,1,0.257575757,"sa3021294"
"Daniel Jose Lopez","KCR","DSL",18,46,149,175,40,26,10,2,2,26,21,20,0,31,3,2,1,1,11,5,0.268456375,"sa3021298"
"Jorge Hernandez","KCR","CPX",18,41,158,173,46,35,8,0,3,20,31,10,0,35,2,2,1,0,2,1,0.29113924,"sa3021301"
"Darvin Cruz","KCR","DSL",18,42,142,171,28,25,3,0,0,19,11,22,0,32,2,3,2,4,14,4,0.197183098,"sa3021302"
"Marcelo Alcala","CHW","DSL",18,44,136,161,37,25,4,5,3,34,19,12,0,54,10,2,0,0,13,4,0.272058823,"sa3021304"
"Michael Guzman","TEX","DSL",18,51,174,218,48,36,9,1,2,34,38,35,0,44,6,2,0,4,14,1,0.275862068,"sa3021306"
"Dauwin Gonzalez","ARI","DSL",18,42,124,152,28,23,1,1,3,21,16,23,1,29,2,3,0,3,5,2,0.225806451,"sa3021310"
"Dashyll Tejeda","WSN","DSL",18,38,125,155,38,26,7,3,2,31,19,20,0,25,9,1,0,0,46,8,0.304,"sa3021315"
"Yensi Reyes","COL","DSL",20,48,159,189,48,29,11,2,6,36,36,20,0,47,6,3,1,3,8,4,0.301886792,"sa3021319"
"Aldalay Kolokie","COL","DSL",19,41,134,170,43,33,8,0,2,25,39,21,0,16,10,4,1,4,11,3,0.320895522,"sa3021321"
"Jayson Bass","MIN","CPX",18,51,156,174,43,33,7,2,1,25,26,17,0,36,0,1,0,3,8,5,0.275641025,"sa3021323"
"Justin Ramirez","NYM","DSL",19,44,133,168,25,17,4,1,3,23,14,30,1,44,3,2,0,2,4,5,0.187969924,"sa3021324"
"Dario Reynoso","SFG","CPX",19,50,155,202,32,21,7,1,3,36,17,41,0,75,4,2,0,0,8,3,0.206451612,"sa3021329"
"Edgleen Perez","NYY","CPX",18,51,166,216,47,36,8,1,2,35,24,45,0,35,4,1,0,9,4,1,0.28313253,"sa3021330"
"Aniel Mendoza","TEX","DSL",19,44,154,188,41,27,6,3,5,38,31,26,0,37,4,3,0,6,5,2,0.266233766,"sa3021590"
"Bryan Martinez","LAA","DSL",18,45,142,176,39,28,6,4,1,35,23,24,0,40,5,3,2,0,23,8,0.274647887,"sa3021600"
"Daniel Rojas","STL","DSL",18,39,145,154,36,29,2,4,1,15,11,8,0,33,1,0,0,2,5,5,0.248275862,"sa3021613"
"Luis Martinez","ARI","DSL",18,42,127,163,36,27,7,0,2,20,21,30,0,36,2,4,0,0,2,2,0.283464566,"sa3021626"
"Jesus Alexander","SFG","DSL",18,47,176,197,67,42,17,3,5,26,40,19,0,28,0,2,0,4,1,0,0.380681818,"sa3021628"
"Miguel Blanco","SFG","DSL",18,44,137,171,35,28,4,2,1,27,25,30,0,35,3,1,0,2,5,2,0.255474452,"sa3021630"
"Ramon Ramirez","KCR","CPX",19,49,170,203,45,27,10,1,7,28,33,26,0,42,6,1,0,4,1,0,0.264705882,"sa3021637"
